Company,Former / alternate names,Brief Description,Website,B2B/B2C,Company focus,Protein category,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ State/Province (Non-U.S.),HQ City,Founders,Parent company,Company email,Link to parent company's record,Link to subsidiary/brand
ReMilk,,Israel-based company that develops microbial fermentation technology for creating dairy products using real milk proteins,https://www.remilk.com,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein",Africa/Middle East,Israel,,,Tel Aviv-Yafo,"Aviv Wolff, Ori Cohavi",,,,
ReNewFood,,"ReNewFood is an early stage venture looking to produce novel protein-based flavouring ingredients using precision fermentation technologies, with a focus on the plant-based and alt-protein markets.",https://renewfood.co.uk/,B2B,Ingredients and inputs,Precision fermentation,End product formulation and manufacturing,Ingredients,,Yeast,Europe,United Kingdom,,,Sheffield,Matthew Hutchinson,,m.hutchinson@sheffield.ac.uk,,
Rethink Bio,,Rethink Bio is harnessing the potential of microalgae to develop sustainable food solutions which are good for the planet and people.,www.rethinkbio.in,"B2B,B2C","Meat,Dairy,Seafood,Ingredients and inputs","Plant-based,Fermentation-derived","End product formulation and manufacturing,Ingredient optimization,Bioprocess design",Ingredients,,Algae,"Asia Pacific,Europe",India ,,Maharashtra,Pune,Mangesh Khadase,,hello@rethinkbio.in,,
Revyve,,Dutch company creating ingredients from single-cell proteins through a process that unlocks unique functionalities.,https://revyve.bio/,B2B,Ingredients and inputs,"Biomass fermentation,Plant-based",Ingredient optimization,Ingredients,"Chicken,Beef/veal","Yeast,Algae,Fungi,Pea,Wheat,Microalgae",Europe,Netherlands,,,Wageningen,"Edgar Suarez Garcia, Cedric Verstraeten, and Corjan van den Berg",,info@revyve.bio,,
Rosalind Bioculture,,"Boosting precision fermentation yield for sustainable protein production, through organism optimization",http://ros.bio,B2B,Bioprocessing infrastructure and equipment,Precision fermentation,Host strain development,"Ingredients,Other",,,"Africa/Middle East,Asia Pacific,Australia/New Zealand,Europe,United States and Canada,Latin America",Israel,,,Kfar Vitkin,"Dr. Moran Gendelman, Menashe Haskin",,info@ros.bio,,
Savor Foods,,California-based startup revolutionizing the production of fat with agriculture and animal-free solutions.,https://www.savor.it/,"B2B,B2C",Dairy,Biomass fermentation,Ingredient optimization,Oils and fats,Other,,United States and Canada,United States,California,,San Jose,"Henrik Bennetsen, Ian Salmon McKay, and Kathleen Alexander",,hello@savor-it.com,,
ScaleUp Bio,,"ScaleUp Bio provides global food tech start-ups with access to state-of-the-art, dedicated food-grade microbial and precision fermentation facilities, industry resources and the right relationships to accelerate their innovative microbial and precision fermentation solutions, from ideation to market.",https://www.scaleupbio.com/,B2B,Contract manufacturing/processing,Fermentation-derived,Bioprocess design,"Ground meat/seafood,Ingredients,Whole muscle meat/seafood",,,Asia Pacific,Singapore,,,,Troels Prahl ,ADM (Archer Daniels Midland Company) and Nurasa,hello@scaleupbio.com,ADM (Archer Daniels Midland),
Shiru,,"US-based biotechnology research startup aimed at creating sustainable functional ingredients, starting with gelatin and egg replacements, for alternative proteins and other plant-based foods.",https://www.shiru.com/,"B2C,B2B",Ingredients and inputs,Precision fermentation,"Ingredient optimization,Target molecule selection","Ingredients,Eggs",,,United States and Canada,United States,California,,Alameda,Dr. Jasmin Hume,,,,
Shroomeats,,US-based company producing mushroom-based meat products.,https://www.shroomeats.co/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood",Beef/veal,Mushrooms,United States and Canada,United States,California,,Avalon,"Pamas, Dissaya, and Mary",,,,
Sincarne,,U.S.-based company focused on creating mycoprotein products for both wholesale and retail markets.,https://sincarne.com/,"B2C,B2B",Ingredients and inputs,Biomass fermentation,"End product formulation and manufacturing,Host strain development",,,Fungi,United States and Canada,United States,California,,Sunnyvale,Brian Sefton,,,,
"Smallfood, Inc.",,Canadian company that produces novel proteins sourced from micro-algae. ,www.smallfood.com,B2B,Ingredients and inputs,Biomass fermentation,"Ingredient optimization,Target molecule selection",Other,,"Algae,Microalgae,Omega-3 ,EPA/DHA",United States and Canada,Canada,,Nova Scotia,Halifax,Marc St-Onge,,info@smallfood.com,,
Sojami,,"Frace-based company specializing in soybean lactofermentation to produce a range of tasty dairy-free, gluten-free, vegan spreads from organic GMO-free soy.",http://lesojami.com/,B2C,Dairy,"Plant-based,Fermentation-derived",End product formulation and manufacturing,"Cheese,Milk,Other dairy",,Soy,Europe,France,,Lot-et-Garonne,Agen,,,lesojami@lesojami.com,,
Solar Foods,,Finnish food technology company harvesting air protein.,https://solarfoods.com,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment","Biomass fermentation,Cultivated","Bioprocess design,Ingredient optimization,Cell line development",,,CO2,"Europe,United States and Canada",Finland,,,Lappeenranta,"Pasi Vainikka, Juha-Pekka Pitkänen, Jero Ahola, Janne Mäkelä, and Jari Tuovinen",,info@solarfoods.com,,
Sophie's BioNutrients,,"Algae-based protein. BioNutrients will use local food waste, and limited amounts of water to produce micro-algae protein within metropolitan areas in many parts of the globe. ",https://sophiesbionutrients.com/,"B2C,B2B","Ingredients and inputs,Dairy",Biomass fermentation,End product formulation and manufacturing,,,"Algae,Microalgae",Asia Pacific,Singapore,,,,Eugene Wang,,https://sophiesbionutrients.com/contact-us/,,
Standing Ovation,,France-based company producing casein through precision fermentation. ,https://standing-ovation.co/,B2C,"Dairy,Ingredients and inputs",Precision fermentation,Ingredient optimization,Ingredients,,Casein,Europe,France,,,Paris,Romain Chayot,,information@standing-ovation.co,,
Sticta Biologicals,,Chile-based company that uses yeast-derived recombinant proteins and growth factor for cell-based meat,https://www.sticta.com/,B2B,Ingredients and inputs,"Cultivated,Precision fermentation",Cell culture media,Ingredients,"Beef/veal,Pork,Chicken,Other fish",,Latin America,Chile,,,Santiago,"Andrés Ariztía,  Eduardo Agosin",,,,
Strive Nutrition,Strive Nutrition Corp.,US-based plant-based dairy beverage company using animal-free whey protein,www.striveforbetter.com,B2C,Dairy,"Precision fermentation,Plant-based",End product formulation and manufacturing,Milk,Other,Whey,"United States and Canada,Asia Pacific",United States,Kansas,,Wichita,"Dennis, Janet and Austen Cohlmia ",,,,
Studio Fava,,"Innovation partner in development of plant-based, fermentation-based and cell-based foods.",www.studiofava.nl,B2B,"Ingredients and inputs,Contract manufacturing/processing","Plant-based,Cultivated,Fermentation-derived,Precision fermentation,Biomass fermentation,Blended","Bioprocess design,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",,,,"Asia Pacific,Europe,United States and Canada",Netherlands,,Noord-Brabant,'s-Hertogenbosch,Dennis Favier,,info@studiofava.nl,,
Superbrewed Food,,"Superbrewed Food is a nutrition and health company focused on the development of natural ingredients produced from a fermentation platform. Superbrewed Food’s postbiotic protein is made from microflora native to the human microbiome, and delivers superior nutritional and functional benefits compared to other plant and microbial proteins. ",https://www.superbrewedfood.com,"B2C,B2B","Dairy,Ingredients and inputs",Biomass fermentation,"End product formulation and manufacturing,Ingredient optimization","Cheese,Other dairy",,,United States and Canada,United States,Delaware,,New Castle,"Talli Somekh, Bryan Tracy",,formerly known as white dog labs,,
Synonym,,"A U.S.-based company building a financing and implementation platform to rapidly bring new biomanufacturing facilities online, allowing for a new generation of animal proteins and novel materials.Bio",https://synonym.bio/,B2B,Bioprocessing infrastructure and equipment,"Precision fermentation,Biomass fermentation",Bioprocess design,Other,,,United States and Canada,United States,New York ,,New York City,"Joshua Lachter, Edward Shenderovich",,,,
Tempty Foods,,Denmark-based company producing mycelium-based meat products.,https://www.tempty-foods.com/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood",,"Mycoprotein,Quinoa,Lentils,Oat",Europe,Denmark,,,Copenhagen,"Ana Pejic, Cecilie e. Lund, and Martina Lokajova",,info@tempty-foods.com,,
Ten Lives,,"US-based startup developing sustainable, vegan cat snacks.",https://tenlivesfoods.com/,B2C,Pet food,Biomass fermentation,End product formulation and manufacturing,,,,United States and Canada,United States,California,,San Francisco,,,,,
The Better Meat Co.,,Fermentation experts creating delicious mycelium ingredients for food companies to make the most convincing alt-meats.,www.bettermeat.co,B2C,"Meat,Seafood,Pet food",Biomass fermentation,"Ingredient optimization,Feedstocks","Ground meat/seafood,Other meat/seafood,Ingredients,Other","Beef/veal,Chicken,Pork,Turkey,Other fish,Other shellfish,Crab,Tuna,Other",Fungi,United States and Canada,United States,California,,Sacramento,Paul Shapiro and Joanna Bromley,,hello@bettermeat.co,,
The Bland Company,,Utilising agriby products and novel fermentation tech to reduce the cost of plant-based foods.,theblandcompany.co,B2B,Ingredients and inputs,"Plant-based,Fermentation-derived","Ingredient optimization,Host strain development,End product formulation and manufacturing",,,,"Asia Pacific,United States and Canada",United States,,Delaware,Dover,"Yash Khandelwal, Micol Hafez",,,,
The Cultivated B,,"Multinational company dedicated to the development and application of technologies in cellular agriculture, precision fermentation, and bioreactor engineering.",https://www.thecultivatedb.com/,B2B,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing","Cultivated,Plant molecular farming,Precision fermentation","Bioprocess design,Cell culture media,Cell line development,Host strain development,Target molecule selection",,,,Europe,Germany,,,Heidelberg,,InFamily Foods Holding,info@thecultivatedb.com,,"PreFer Industries Ltd,n!Biomachines Ltd"
The Live Green Co.,,The Live Green Co. uses a machine learning approach to develop alternative proteins that have the sensory characteristics of animal proteins. ,https://www.thelivegreenco.com/,B2C,Meat,"Plant-based,Precision fermentation",Ingredient optimization,,,"Chickpea,Pea","Latin America,United States and Canada",Chile,,,San Fernando,"Priyanka Srinivas, Sasikanth C",,,,
The Mediterranean Food Lab (MFL),,"Uses raw materials of the Mediterranean Diet: grains, legumes, nuts, and seeds to drive fermentation.",https://www.med-food-lab.com/,B2C,"Dairy,Meat",Traditional fermentation,End product formulation and manufacturing,"Other meat/seafood,Milk,Cheese",,,Africa/Middle East,Israel,,,Tel Aviv-Yafo,"BZ Goldberg, Omer Ben Gal, Yair Yosefi",,,,
The Protein Brewery,,"Producer of ""Fermotein"" fungi based protein for human consumption to replace meat.",https://www.theproteinbrewery.nl/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Fungi,Europe,Netherlands,,,Breda,Wim de Laat,,info@theproteinbrewery.nl,,
The Urgent Company ,,"Parent company of Brave Robot, Modern Kitchen, California Performance Co., Coolhaus ",https://theurgentcompany.com/,,,Precision fermentation,End product formulation and manufacturing,,,,United States and Canada,United States,California,,Emeryville,,Superlatus ,,,"Brave Robot ,Coolhaus"
Those Vegan Cowboys,,Animal-free dairy company.,https://thosevegancowboys.com/,B2C,Dairy,"Precision fermentation,Plant-based","End product formulation and manufacturing,Ingredient optimization","Cheese,Ingredients",,Casein,Europe,Belgium,,,Ghent,Jaap Korteweg and Niko Koffeman ,,postoffice@thosevegancowboys.com,,
Tomorrow Farms,,"U.S.-based company that builds and grows brands of various alternative protein products, including a company producing milk using microbial fermentation called Bored Cow.",https://www.tomorrowfarms.co,B2C,Dairy,"Precision fermentation,Plant-based",End product formulation and manufacturing,"Other,Milk",,,United States and Canada,United States,New York ,,New York City ,Ben Berman,,,,
TurtleTree,,Singapore-based company developing cultivated dairy products.,https://turtletreelabs.com/,B2C,Dairy,Precision fermentation,"Cell culture media,Cell line development,End product formulation and manufacturing",Milk,,,Asia Pacific,Singapore,,,Singapore,"Fengru Lin, Mkulima Britt, Max Rye",,us.media@turtletree.co,,
Typcal,,Typcal uses fermentation to make mycelium ingredients.,https://www.typcal.com.br/,B2C,Meat,"Plant-based,Fermentation-derived",End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Other dairy","Chicken,Beef/veal",,Latin America,Brazil,,,São Paulo,,,,,
University of Sydney - Alternative Protein Application Centre (APAC),,,,,Ingredients and inputs,"Plant-based,Fermentation-derived",,Ingredients,,,Australia/New Zealand,Australia,,,Sydney,,,,,
Updairy,,Brazilian-based company producing dairy ingredients through precision fermentation.,https://www.linkedin.com/company/updairy/,"B2C,B2B","Ingredients and inputs,Dairy",Precision fermentation,"Cell line development,Host strain development,Target molecule selection,Bioprocess design,Ingredient optimization",Ingredients,,"Casein,Whey",Latin America,Brazil,,São Paulo,São Paulo,"Harsh Sethia, Mirelle Dogenski, Thabata Alvarez",,info@updairy.co ,,
Vivici,,Vivici uses precision fermentation to make animal-free dairy protein. ,https://www.vivici.com/,"B2C,B2B","Dairy,Ingredients and inputs",Precision fermentation,"Bioprocess design,Ingredient optimization,Host strain development,Target molecule selection,Feedstocks",Other dairy,,,Europe,Netherlands,,,Delft,"DSM, Fonterra",,info@vivici.com,,
Wild Earth,,U.S. producer of alternative proteins for pets. ,www.wildearth.com,"B2C,B2B",Pet food,"Plant-based,Fermentation-derived,Cultivated",End product formulation and manufacturing,,"Beef/veal,Chicken","Yeast,Pea,Soy,Barley,Canola,Peanut,Potato,Rice",United States and Canada,United States,California,,Berkeley,"Ryan Bethencourt, Abril Estrada",,hello@wildearth.com,,
Wild Microbes,,A U.S.-based company with a catalog of exceptional microbes for bio production. ,www.wildmicrobes.com,"B2C,B2B","Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment",Precision fermentation,"Bioprocess design,Feedstocks,Host strain development",Other,,,"United States and Canada,Europe",United States,,,,"Tim Wannier, Ben Kramer",,,,
Yali Bio,,Building a synthetic biology platform to tailor-make climate-smart foods from renewable resources.,https://www.yalibio.com/,"B2C,B2B","Ingredients and inputs,Meat,Dairy",Precision fermentation,Ingredient optimization,Oils and fats,,,United States and Canada,United States,California,,South San Francisco ,Yulin Lu,,,,
Yeastup,,Swiss-based company that upcycles brewer's spent yeast into high-quality proteins and fibers.,www.yeastup.com,B2B,Ingredients and inputs,"Biomass fermentation,Plant-based","Bioprocess design,Ingredient optimization",Ingredients,,Yeast,Europe,Switzerland,,,Brugg,Daniel Gnos and Urs Briner,,hello@yeastup.com,,
Zero Cow Factory,,India/Asia's first milk & milk products (certainly world's first A2 milk protein) using microbes.,https://zerocowfactory.com/,"B2B,B2C","Dairy,Ingredients and inputs",Precision fermentation,"End product formulation and manufacturing,Bioprocess design,Host strain development","Cheese,Milk,Other dairy",,,Asia Pacific,India ,,Gujarat,Surat,"Parini Kapadia, Sohil Kapadia",Heni Innovation Private Limited,zerocowfactory@gmail.com,,
